Stage Extras,Unnamed: 1,Unnamed: 2,Unnamed: 3,Unnamed: 4,Unnamed: 5,Unnamed: 6,Unnamed: 7,Unnamed: 8,Unnamed: 9,Unnamed: 10,Unnamed: 11,Unnamed: 12,Unnamed: 13,Alliance,Team,Fumbled,BrokeDown,CrossedCenter,LostParts,RingToss,AdditionalNote,MultiClimb,NoShow,StageInt,TippedOver,JammedPiece
Team,Harmony,Spotlit,,,,,,,,,,,,Red,frc1690,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
frc4320,1,0,,,,,,,,,,,,Red,frc1577,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
frc1577,1,0,,,,,,,,,,,,Red,frc4320,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
frc1690,0,0,,,,,,,,,,,,Blue,frc5951,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
,,,,,,,,,,,,,,Blue,frc9740,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
,,,,,,,,,,,,,,Blue,frc3065,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
frc4320,Amp Station - Climb Times,,,,,frc4320,Amp Station - Climb Locations,,,,,,,,,,,,,,,,,,,
Scale,Success,Success,Fail,,,Location,Success,Fail,No Attempt,Label,Stage,Location,,,,,,,,,,,,,,
Fail,0,10.826005499999999,12.8685963,Min/Max,,Near,1,1,0,0S / 0F,Left,FAR,,,,,,,,,,,,,,
Success,10.826005499999999,10.826005499999999,8.936634999999999,Average,,Center,0,0,0,0S / 0F,Center,CENTER,,,,,,,,,,,,,,
Balance,49.1739945,1.3333333333333333,3.75,,,Far,0,0,0,1S / 1F,Right,NEAR,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
Success: 10.83,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
frc1577,Center Station - Climb Times,,,,,frc1577,Center Station - Climb Locations,,,,,,,,,,,,,,,,,,,
Scale,Success,Success,Fail,,,Location,Success,Fail,No Attempt,Label,Stage,Location,,,,,,,,,,,,,,
Fail,0,10.691533,18.6201598,Min/Max,,Near,1,0,0,0S / 0F,Left,FAR,,,,,,,,,,,,,,
Success,10.691533,10.691533,18.6201598,Average,,Center,0,0,0,0S / 0F,Center,CENTER,,,,,,,,,,,,,,
Balance,49.308467,1.3333333333333333,3.75,,,Far,0,0,0,1S / 0F,Right,NEAR,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
Success: 10.69,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
frc1690,Source Station - Climb Times,,,,,frc1690,Source Station - Climb Locations,,,,,,,,,,,,,,,,,,,
Scale,Success,Success,Fail,,,Location,Success,Fail,No Attempt,Label,Stage,Location,,,,,,,,,,,,,,
Fail,0,0.7662631999999999,0,Min/Max,,Near,3,0,0,3S / 0F,Left,NEAR,,,,,,,,,,,,,,
Success,0.7662631999999999,5.126100166666666,0,Average,,Center,0,0,0,0S / 0F,Center,CENTER,,,,,,,,,,,,,,
Balance,59.2337368,1.3333333333333333,3.75,,,Far,0,0,0,0S / 0F,Right,FAR,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
Success: 5.13,,,,,,,,,,,,,,,,,,,,,,,,,,
