Match Number,62,Unnamed: 2,eScouting through,Unnamed: 4,Unnamed: 5,Unnamed: 6,Unnamed: 7,"Fumbled
Note","Broke
Down","Crossed
Center","Lost
Parts","Ring
Toss","More Than
1 Note","Multiple
Climbs",No Show,"Climb
Blocked","Tipped
Over","Jammed
Piece"
Alliance,Red,,Match 62,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,frc1690,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
,,,,,,,frc1577,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
,,,,,,,frc4320,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
,,,,,,,frc5951,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
,,,,,,,frc9740,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
,,,,,,,frc3065,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
,,,,,,,,,,,,,,,,,,
Amp Station,,,,,,,,,,,,,,,,,,
frc4320,,,,,,Successful Climb,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
Scouted,,,,,,Minimum: 10.826,,,,,,,,,,,,
4,,,,,,Average: 10.826,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
Rank,,,,,,,,,,,,,,,,,,
7,,,,,,Unsuccessful Climb,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
Score,,,,,,Maximum: 12.869,,,,,,,,,,,,
2880.08,,,,,,Average: 8.937,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
Ensemble RP,,,,,,,,,,,,,,,,,,
1,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
Center Station,,,,,,,,,,,,,,,,,,
frc1577,,,,,,Successful Climb,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
Scouted,,,,,,Minimum: 10.692,,,,,,,,,,,,
3,,,,,,Average: 10.692,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
Rank,,,,,,,,,,,,,,,,,,
8,,,,,,Unsuccessful Climb,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
Score,,,,,,Maximum: 18.62,,,,,,,,,,,,
2880.02,,,,,,Average: 18.62,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
Ensemble RP,,,,,,,,,,,,,,,,,,
1,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
Center Station,,,,,,,,,,,,,,,,,,
frc1690,,,,,,Successful Climb,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
Scouted,,,,,,Minimum: 0.766,,,,,,,,,,,,
3,,,,,,Average: 5.126,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
Rank,,,,,,,,,,,,,,,,,,
1,,,,,,Unsuccessful Climb,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
Score,,,,,,Maximum: 0,,,,,,,,,,,,
5328.1,,,,,,Average: 0,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
Ensemble RP,,,,,,,,,,,,,,,,,,
2,,,,,,,,,,,,,,,,,,
