event_key,comp_level,key,match_number,Blue1,Blue2,Blue3,Red1,Red2,Red3
2024isde1,qm,2024isde1_qm1,1,frc4319,frc1690,frc9303,frc4338,frc4320,frc5990
2024isde1,qm,2024isde1_qm2,2,frc3211,frc1576,frc1577,frc6230,frc6740,frc7177
2024isde1,qm,2024isde1_qm3,3,frc1580,frc1942,frc9738,frc5135,frc1574,frc9740
2024isde1,qm,2024isde1_qm4,4,frc3316,frc2230,frc2630,frc3065,frc8175,frc6738
2024isde1,qm,2024isde1_qm5,5,frc3083,frc5654,frc5951,frc2679,frc3339,frc7067
2024isde1,qm,2024isde1_qm6,6,frc6230,frc5990,frc5135,frc5715,frc4338,frc7177
2024isde1,qm,2024isde1_qm7,7,frc1942,frc9740,frc3083,frc8175,frc4319,frc2230
2024isde1,qm,2024isde1_qm8,8,frc4320,frc3065,frc2679,frc2630,frc7067,frc1576
2024isde1,qm,2024isde1_qm9,9,frc1580,frc5715,frc1577,frc6738,frc3316,frc9738
2024isde1,qm,2024isde1_qm10,10,frc3339,frc6740,frc5951,frc3211,frc9303,frc1574
2024isde1,qm,2024isde1_qm11,11,frc1690,frc6230,frc3083,frc9740,frc5654,frc4319
2024isde1,qm,2024isde1_qm12,12,frc9303,frc5135,frc6740,frc1576,frc2230,frc3339
2024isde1,qm,2024isde1_qm13,13,frc9738,frc2630,frc5990,frc2679,frc3211,frc3316
2024isde1,qm,2024isde1_qm14,14,frc7067,frc5715,frc6738,frc7177,frc5951,frc1690
2024isde1,qm,2024isde1_qm15,15,frc1574,frc1577,frc8175,frc4320,frc5654,frc3065
2024isde1,qm,2024isde1_qm16,16,frc3316,frc1580,frc4338,frc1942,frc7067,frc6230
2024isde1,qm,2024isde1_qm17,17,frc5990,frc6738,frc1690,frc2679,frc5951,frc9740
2024isde1,qm,2024isde1_qm18,18,frc3083,frc8175,frc9738,frc4320,frc3339,frc1942
2024isde1,qm,2024isde1_qm19,19,frc9303,frc1576,frc2630,frc4319,frc1577,frc6740
2024isde1,qm,2024isde1_qm20,20,frc7177,frc1580,frc1574,frc2230,frc5135,frc5654
2024isde1,qm,2024isde1_qm21,21,frc3065,frc4338,frc1577,frc5715,frc5951,frc3211
2024isde1,qm,2024isde1_qm22,22,frc1580,frc4320,frc7067,frc3316,frc1690,frc5135
2024isde1,qm,2024isde1_qm23,23,frc5654,frc6738,frc1574,frc8175,frc5990,frc6740
2024isde1,qm,2024isde1_qm24,24,frc6230,frc9740,frc3211,frc1576,frc9738,frc5715
2024isde1,qm,2024isde1_qm25,25,frc2230,frc2679,frc1942,frc4338,frc3083,frc9303
2024isde1,qm,2024isde1_qm26,26,frc2630,frc4319,frc4320,frc3339,frc7177,frc3065
2024isde1,qm,2024isde1_qm27,27,frc1577,frc9303,frc6230,frc5135,frc1942,frc6738
2024isde1,qm,2024isde1_qm28,28,frc1576,frc4338,frc5654,frc2230,frc3065,frc9738
2024isde1,qm,2024isde1_qm29,29,frc3211,frc1574,frc4319,frc3083,frc5715,frc3316
2024isde1,qm,2024isde1_qm30,30,frc3339,frc7067,frc9740,frc6740,frc1690,frc1580
2024isde1,qm,2024isde1_qm31,31,frc2630,frc2679,frc8175,frc5990,frc5951,frc7177
2024isde1,qm,2024isde1_qm32,32,frc5654,frc3316,frc1577,frc1690,frc3339,frc5715
2024isde1,qm,2024isde1_qm33,33,frc1574,frc1576,frc3065,frc2679,frc7177,frc3083
2024isde1,qm,2024isde1_qm34,34,frc9740,frc9738,frc4338,frc6738,frc1580,frc9303
2024isde1,qm,2024isde1_qm35,35,frc5951,frc4320,frc1942,frc6230,frc2630,frc5135
2024isde1,qm,2024isde1_qm36,36,frc6740,frc3211,frc2230,frc5990,frc4319,frc7067
2024isde1,qm,2024isde1_qm37,37,frc1576,frc6230,frc3316,frc8175,frc9303,frc5951
2024isde1,qm,2024isde1_qm38,38,frc4338,frc6740,frc2230,frc9740,frc3083,frc1580
2024isde1,qm,2024isde1_qm39,39,frc5654,frc3211,frc3339,frc7067,frc1577,frc6738
2024isde1,qm,2024isde1_qm40,40,frc9738,frc1690,frc8175,frc2630,frc3065,frc5715
2024isde1,qm,2024isde1_qm41,41,frc1574,frc5990,frc2679,frc4319,frc7177,frc1942
2024isde1,qm,2024isde1_qm42,42,frc6740,frc5135,frc1576,frc4320,frc5715,frc9740
2024isde1,qm,2024isde1_qm43,43,frc2230,frc1580,frc5990,frc1577,frc1942,frc2630
2024isde1,qm,2024isde1_qm44,44,frc5135,frc8175,frc5951,frc6738,frc3211,frc6230
2024isde1,qm,2024isde1_qm45,45,frc7177,frc7067,frc5654,frc3316,frc4319,frc3339
2024isde1,qm,2024isde1_qm46,46,frc1690,frc4338,frc2679,frc9738,frc4320,frc1574
2024isde1,qm,2024isde1_qm47,47,frc5715,frc9303,frc5990,frc3065,frc3083,frc5654
2024isde1,qm,2024isde1_qm48,48,frc1577,frc9738,frc5135,frc4338,frc8175,frc3339
2024isde1,qm,2024isde1_qm49,49,frc7067,frc2230,frc1690,frc4319,frc2630,frc3211
2024isde1,qm,2024isde1_qm50,50,frc1942,frc3065,frc9303,frc1574,frc3316,frc6740
2024isde1,qm,2024isde1_qm51,51,frc3083,frc6738,frc4320,frc1580,frc2679,frc1576
2024isde1,qm,2024isde1_qm52,52,frc7177,frc9740,frc2630,frc5951,frc6230,frc4338
2024isde1,qm,2024isde1_qm53,53,frc5135,frc3339,frc1580,frc3065,frc5990,frc3211
2024isde1,qm,2024isde1_qm54,54,frc5951,frc1576,frc4319,frc7067,frc3316,frc8175
2024isde1,qm,2024isde1_qm55,55,frc9303,frc7177,frc4320,frc1942,frc1574,frc1690
2024isde1,qm,2024isde1_qm56,56,frc5715,frc6230,frc2230,frc9738,frc5654,frc2679
2024isde1,qm,2024isde1_qm57,57,frc9740,frc6738,frc3316,frc1577,frc6740,frc3083
2024isde1,qm,2024isde1_qm58,58,frc8175,frc2230,frc7177,frc9303,frc9738,frc7067
2024isde1,qm,2024isde1_qm59,59,frc6738,frc2679,frc4319,frc3211,frc5135,frc4338
2024isde1,qm,2024isde1_qm60,60,frc3339,frc1574,frc6230,frc5990,frc3083,frc1576
2024isde1,qm,2024isde1_qm61,61,frc6740,frc1942,frc5715,frc5654,frc2630,frc1580
2024isde1,qm,2024isde1_qm62,62,frc5951,frc9740,frc3065,frc1690,frc1577,frc4320
